"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC Part Number"
"C1","1","10uF","","","","C72482"
"C2,C5,C7,C8","4","100nF","","","","C14663"
"C3","1","10nF","","","","C100042"
"C4,C6","2","100uF","","","","C48587228"
"D1","1","SMBJ5.0A","","","","C83333"
"D2","1","L 12V","","","","C6717903"
"D3","1","L 5V","","","","C6717903"
"D4","1","L -12V","","","","C6717903"
"F1","1","Fuse 2A","","","","C135364"
"J1","1","UJC-HP2-3-SMT-TR","","","","C20611612"
"J2,J3","2","Eurorack_Power_16pin_Shrouded","DNP","Excluded from BOM","",""
"J6","1","VN02A1500000G","DNP","","","C5188442"
"PS1","1","DKM10E-12","DNP","Excluded from BOM","",""
"R1,R2","2","5.1kΩ","","","","C26033"
"R3,R4","2","2.2kΩ","","","","C17948"
"R5","1","680Ω","","","","C17975"
